epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1614.67,1.22451,1.26718,1.14405,0.52261,0.34257,0.34246,0.22869,1.23215,1.22256,1.14162,0.0091882,0.0091882,0.0091882
43,1652.7,1.23802,1.28137,1.1486,0.55663,0.31644,0.33847,0.21996,1.24646,1.22755,1.13614,0.0091684,0.0091684,0.0091684
44,1690.61,1.21765,1.26177,1.13912,0.46347,0.34796,0.34201,0.22989,1.23303,1.21429,1.13782,0.0091486,0.0091486,0.0091486
45,1728.35,1.21751,1.24363,1.14148,0.50185,0.34369,0.34923,0.23081,1.23846,1.23084,1.1414,0.0091288,0.0091288,0.0091288
46,1766.66,1.21215,1.21868,1.13085,0.50623,0.34141,0.34587,0.2284,1.21622,1.22363,1.12721,0.009109,0.009109,0.009109
47,1804.65,1.21222,1.22807,1.13317,0.5024,0.31967,0.34678,0.235,1.21614,1.21485,1.13057,0.0090892,0.0090892,0.0090892
48,1842.63,1.2226,1.22129,1.13096,0.57467,0.34783,0.35858,0.23723,1.23903,1.18791,1.13657,0.0090694,0.0090694,0.0090694
49,1880.67,1.20787,1.217,1.13262,0.52108,0.33318,0.36127,0.24171,1.21776,1.20227,1.12423,0.0090496,0.0090496,0.0090496
50,1918.72,1.20077,1.21307,1.13179,0.5696,0.32855,0.3709,0.24095,1.21155,1.16782,1.12057,0.0090298,0.0090298,0.0090298
51,1956.76,1.20488,1.21037,1.12905,0.54276,0.32693,0.35413,0.23914,1.22168,1.19434,1.13566,0.00901,0.00901,0.00901
52,1994.74,1.19434,1.19236,1.12363,0.5962,0.35078,0.36764,0.24212,1.22146,1.18296,1.12959,0.0089902,0.0089902,0.0089902
53,2032.67,1.19808,1.18089,1.11681,0.58688,0.32438,0.36093,0.24282,1.20728,1.18012,1.12083,0.0089704,0.0089704,0.0089704
54,2070.74,1.17927,1.16986,1.113,0.50329,0.36735,0.36484,0.24418,1.21752,1.1809,1.13052,0.0089506,0.0089506,0.0089506
55,2108.93,1.18939,1.17127,1.11953,0.56608,0.34418,0.35962,0.24102,1.21385,1.17846,1.12189,0.0089308,0.0089308,0.0089308
56,2147.02,1.18012,1.17572,1.12165,0.53716,0.33061,0.35672,0.23907,1.20554,1.15752,1.12359,0.008911,0.008911,0.008911
57,2185.26,1.18729,1.16263,1.11399,0.48749,0.34911,0.3678,0.24615,1.20836,1.16234,1.12557,0.0088912,0.0088912,0.0088912
58,2223.03,1.17319,1.1447,1.11301,0.55876,0.33765,0.37792,0.25601,1.21382,1.14483,1.12399,0.0088714,0.0088714,0.0088714
59,2261.04,1.17769,1.14379,1.11258,0.52846,0.3463,0.36593,0.24337,1.21785,1.16507,1.12716,0.0088516,0.0088516,0.0088516
60,2299.04,1.1826,1.14613,1.11186,0.55558,0.35036,0.37352,0.2483,1.20141,1.13544,1.12217,0.0088318,0.0088318,0.0088318
61,2337.16,1.1907,1.15552,1.11417,0.58399,0.34098,0.37105,0.24688,1.20348,1.15703,1.11282,0.008812,0.008812,0.008812
62,2375.01,1.17147,1.14082,1.11135,0.55789,0.33985,0.37216,0.24904,1.22165,1.16378,1.13386,0.0087922,0.0087922,0.0087922
63,2413.06,1.16863,1.1323,1.10859,0.55908,0.35321,0.37754,0.25112,1.21968,1.15753,1.12796,0.0087724,0.0087724,0.0087724
64,2451.14,1.18163,1.12536,1.10842,0.51011,0.37123,0.3764,0.25374,1.20811,1.13936,1.1256,0.0087526,0.0087526,0.0087526
65,2488.97,1.16677,1.12754,1.10544,0.62086,0.33113,0.37427,0.25508,1.19444,1.12518,1.11388,0.0087328,0.0087328,0.0087328
66,2526.82,1.17767,1.13138,1.11245,0.50749,0.36633,0.37955,0.25958,1.20405,1.12063,1.11769,0.008713,0.008713,0.008713
67,2564.79,1.16712,1.11867,1.10372,0.6255,0.33623,0.3747,0.2527,1.1966,1.12628,1.12011,0.0086932,0.0086932,0.0086932
68,2602.97,1.16035,1.1068,1.1066,0.57567,0.34441,0.37882,0.25678,1.19337,1.1251,1.11047,0.0086734,0.0086734,0.0086734
69,2640.73,1.15547,1.10973,1.10176,0.58988,0.34879,0.37647,0.25497,1.20286,1.14042,1.12455,0.0086536,0.0086536,0.0086536
70,2678.71,1.17305,1.1162,1.10595,0.55914,0.36314,0.39239,0.26171,1.20719,1.13927,1.12283,0.0086338,0.0086338,0.0086338
71,2716.59,1.14256,1.08646,1.0938,0.55748,0.36407,0.37986,0.25098,1.20983,1.12878,1.11424,0.008614,0.008614,0.008614
72,2754.5,1.14899,1.08806,1.09688,0.54345,0.34397,0.38186,0.25664,1.20155,1.11642,1.11259,0.0085942,0.0085942,0.0085942
73,2792.46,1.1521,1.08428,1.09073,0.52672,0.36549,0.39185,0.26408,1.19661,1.10848,1.1099,0.0085744,0.0085744,0.0085744
74,2830.53,1.14996,1.09019,1.09786,0.63111,0.34044,0.38169,0.25672,1.18942,1.12412,1.11105,0.0085546,0.0085546,0.0085546
75,2868.44,1.14823,1.08243,1.09505,0.56701,0.38862,0.38338,0.25762,1.19719,1.10584,1.12056,0.0085348,0.0085348,0.0085348
76,2906.24,1.14982,1.0793,1.0968,0.56346,0.36535,0.39494,0.26189,1.18553,1.1102,1.10952,0.008515,0.008515,0.008515
77,2944.18,1.14943,1.06611,1.09031,0.52382,0.36498,0.38964,0.26267,1.18468,1.09642,1.10686,0.0084952,0.0084952,0.0084952
78,2982.05,1.14348,1.0647,1.09149,0.55155,0.34833,0.38176,0.25575,1.20371,1.13567,1.12346,0.0084754,0.0084754,0.0084754
79,3020.1,1.14238,1.06556,1.09005,0.53881,0.37737,0.39751,0.26511,1.20157,1.09755,1.11844,0.0084556,0.0084556,0.0084556
80,3058.04,1.13783,1.05584,1.09006,0.55687,0.37175,0.40049,0.26649,1.20263,1.09457,1.12165,0.0084358,0.0084358,0.0084358
81,3096.03,1.13149,1.05405,1.09066,0.55803,0.36776,0.39465,0.26193,1.19945,1.13418,1.11405,0.008416,0.008416,0.008416
82,3134.14,1.14547,1.06952,1.08765,0.55521,0.37001,0.40055,0.27292,1.18915,1.10046,1.11045,0.0083962,0.0083962,0.0083962
83,3172.06,1.12143,1.05068,1.08541,0.55843,0.3744,0.39618,0.26738,1.19386,1.10587,1.11442,0.0083764,0.0083764,0.0083764
84,3210.16,1.13489,1.03671,1.07754,0.57945,0.36266,0.39482,0.26595,1.18797,1.09633,1.11102,0.0083566,0.0083566,0.0083566
85,3248.43,1.122,1.0314,1.08407,0.61317,0.36615,0.40463,0.27529,1.18092,1.07648,1.10933,0.0083368,0.0083368,0.0083368
86,3286.56,1.13471,1.04931,1.08279,0.57131,0.39359,0.40781,0.27579,1.18263,1.0669,1.10716,0.008317,0.008317,0.008317
87,3324.47,1.13138,1.04993,1.08186,0.61871,0.38233,0.3988,0.26865,1.19759,1.08637,1.11606,0.0082972,0.0082972,0.0082972
88,3362.36,1.13347,1.03569,1.08053,0.59243,0.34833,0.39645,0.26263,1.18587,1.08959,1.10732,0.0082774,0.0082774,0.0082774
89,3400.42,1.12557,1.02988,1.07677,0.62226,0.37057,0.39893,0.27088,1.17868,1.08198,1.09911,0.0082576,0.0082576,0.0082576
90,3438.36,1.1246,1.03002,1.08468,0.60923,0.36046,0.39336,0.2644,1.16692,1.07932,1.09814,0.0082378,0.0082378,0.0082378
91,3476.25,1.11521,1.01707,1.08138,0.61091,0.3568,0.40079,0.27352,1.17663,1.06854,1.10215,0.008218,0.008218,0.008218
92,3514.34,1.12309,1.01942,1.07989,0.60196,0.37889,0.41855,0.28047,1.1668,1.05859,1.09859,0.0081982,0.0081982,0.0081982
93,3552.17,1.12287,1.02328,1.08065,0.57122,0.3827,0.40845,0.27683,1.18222,1.08428,1.1053,0.0081784,0.0081784,0.0081784
94,3589.67,1.12617,1.02126,1.07786,0.58092,0.35882,0.38828,0.26427,1.17241,1.07588,1.09955,0.0081586,0.0081586,0.0081586
95,3627.18,1.11672,1.01897,1.07708,0.57993,0.36095,0.40689,0.27746,1.17608,1.07234,1.10695,0.0081388,0.0081388,0.0081388
96,3664.95,1.13463,1.01875,1.08409,0.63803,0.36426,0.39954,0.27476,1.17056,1.07274,1.10053,0.008119,0.008119,0.008119
97,3702.47,1.10924,1.00122,1.07621,0.62676,0.35873,0.39806,0.26484,1.19326,1.08343,1.11317,0.0080992,0.0080992,0.0080992
98,3739.93,1.11867,0.99533,1.07875,0.65782,0.37251,0.41106,0.27735,1.16783,1.07016,1.10636,0.0080794,0.0080794,0.0080794
99,3777.55,1.11756,0.99654,1.0707,0.59054,0.37006,0.40151,0.27269,1.17868,1.07556,1.10911,0.0080596,0.0080596,0.0080596
100,3815.16,1.1019,0.99218,1.07124,0.58189,0.36928,0.40702,0.27561,1.17327,1.05609,1.10546,0.0080398,0.0080398,0.0080398
101,3852.54,1.10128,0.98582,1.07119,0.60893,0.37613,0.41617,0.2844,1.16224,1.05298,1.09933,0.00802,0.00802,0.00802
102,3890.19,1.11391,0.99315,1.0723,0.57736,0.40536,0.42108,0.2903,1.16442,1.05026,1.09932,0.0080002,0.0080002,0.0080002
103,3927.62,1.08322,0.96098,1.06062,0.62927,0.37755,0.4091,0.27783,1.16782,1.05226,1.097,0.0079804,0.0079804,0.0079804
104,3965.02,1.10914,0.9824,1.06939,0.61425,0.37552,0.4149,0.27993,1.16805,1.05437,1.09672,0.0079606,0.0079606,0.0079606
105,4002.59,1.10582,0.98541,1.06414,0.66067,0.36244,0.41234,0.2788,1.18237,1.06142,1.10583,0.0079408,0.0079408,0.0079408
106,4040.13,1.09584,0.97843,1.06282,0.64727,0.3684,0.41301,0.27758,1.1855,1.06458,1.10627,0.007921,0.007921,0.007921
107,4077.53,1.08769,0.96973,1.06307,0.66114,0.37668,0.42225,0.28669,1.16978,1.05593,1.10141,0.0079012,0.0079012,0.0079012
108,4114.99,1.09694,0.97219,1.06634,0.67943,0.36896,0.42601,0.28854,1.15783,1.02983,1.09586,0.0078814,0.0078814,0.0078814
109,4152.15,1.09378,0.96818,1.06434,0.60516,0.38947,0.42185,0.28827,1.16834,1.03533,1.10087,0.0078616,0.0078616,0.0078616
110,4189.48,1.09921,0.97125,1.06815,0.57904,0.39209,0.42067,0.28561,1.15899,1.0429,1.094,0.0078418,0.0078418,0.0078418
111,4226.67,1.08545,0.96162,1.05946,0.60918,0.39601,0.42392,0.28629,1.17277,1.03569,1.10754,0.007822,0.007822,0.007822
112,4263.96,1.10101,0.96626,1.06755,0.618,0.38642,0.41683,0.28609,1.16657,1.0321,1.09615,0.0078022,0.0078022,0.0078022
113,4301.25,1.08867,0.9593,1.06556,0.60294,0.38885,0.41868,0.28334,1.16441,1.04242,1.09684,0.0077824,0.0077824,0.0077824
114,4338.61,1.08645,0.94786,1.06514,0.63392,0.37871,0.42424,0.28747,1.16482,1.03526,1.09883,0.0077626,0.0077626,0.0077626
115,4375.93,1.08368,0.94792,1.06168,0.61836,0.41063,0.43193,0.2899,1.16401,1.03401,1.09632,0.0077428,0.0077428,0.0077428
116,4413.37,1.08726,0.95568,1.06201,0.65291,0.37666,0.42274,0.28745,1.17111,1.02722,1.09785,0.007723,0.007723,0.007723
117,4450.66,1.08695,0.94197,1.06091,0.59064,0.37221,0.41969,0.28521,1.16242,1.03415,1.10307,0.0077032,0.0077032,0.0077032
118,4487.83,1.0811,0.95066,1.06515,0.62612,0.38884,0.42689,0.2874,1.16088,1.02834,1.09546,0.0076834,0.0076834,0.0076834
119,4524.95,1.09028,0.94676,1.063,0.63833,0.37713,0.41818,0.28485,1.17334,1.0343,1.10847,0.0076636,0.0076636,0.0076636
120,4562.19,1.08191,0.94416,1.05191,0.66746,0.37301,0.42415,0.28873,1.16098,1.02341,1.09874,0.0076438,0.0076438,0.0076438
121,4599.59,1.07638,0.94191,1.05869,0.65245,0.37517,0.42492,0.28634,1.16627,1.03114,1.10365,0.007624,0.007624,0.007624
122,4636.71,1.08044,0.94096,1.05712,0.71511,0.37434,0.43111,0.29301,1.16164,1.01172,1.094,0.0076042,0.0076042,0.0076042
123,4673.83,1.07881,0.93074,1.0602,0.61652,0.38079,0.41704,0.28613,1.15346,1.02782,1.09357,0.0075844,0.0075844,0.0075844
124,4710.86,1.0748,0.93171,1.05275,0.63995,0.36302,0.41153,0.28187,1.15959,1.03294,1.09172,0.0075646,0.0075646,0.0075646
125,4747.98,1.07471,0.92246,1.05357,0.70178,0.36852,0.43737,0.29913,1.15939,1.0358,1.09797,0.0075448,0.0075448,0.0075448
126,4785.28,1.06583,0.91762,1.05341,0.6118,0.38536,0.41953,0.28889,1.15867,1.02135,1.09853,0.007525,0.007525,0.007525
127,4823.29,1.07202,0.91761,1.05371,0.65281,0.375,0.43113,0.29458,1.15495,1.02036,1.09237,0.0075052,0.0075052,0.0075052
128,4860.64,1.07211,0.9211,1.0541,0.72251,0.37308,0.42932,0.29297,1.16289,1.02295,1.09625,0.0074854,0.0074854,0.0074854
129,4897.64,1.06886,0.92298,1.05574,0.63807,0.37855,0.43201,0.29125,1.16185,1.02092,1.09664,0.0074656,0.0074656,0.0074656
130,4934.54,1.07333,0.9072,1.05182,0.65364,0.39051,0.43177,0.29341,1.15128,1.01604,1.08887,0.0074458,0.0074458,0.0074458
131,4971.45,1.05842,0.90602,1.04966,0.6408,0.37103,0.43072,0.29591,1.15133,1.02145,1.08753,0.007426,0.007426,0.007426
132,5008.37,1.07368,0.91956,1.04882,0.59415,0.4279,0.43118,0.29486,1.14869,1.00062,1.08505,0.0074062,0.0074062,0.0074062
133,5045.38,1.06816,0.91671,1.05194,0.65233,0.38436,0.43292,0.29537,1.14143,1.00981,1.07985,0.0073864,0.0073864,0.0073864
134,5082.69,1.06254,0.90504,1.04203,0.62411,0.40667,0.43611,0.29593,1.15262,1.01061,1.09198,0.0073666,0.0073666,0.0073666
135,5119.64,1.0515,0.89805,1.04779,0.63467,0.39075,0.43211,0.29431,1.15402,1.01366,1.09167,0.0073468,0.0073468,0.0073468
136,5156.74,1.07037,0.91442,1.05412,0.64705,0.39299,0.43522,0.29832,1.15051,1.00817,1.08793,0.007327,0.007327,0.007327
137,5193.71,1.06732,0.9072,1.04513,0.67191,0.38585,0.43899,0.29758,1.15092,1.01315,1.08518,0.0073072,0.0073072,0.0073072
138,5230.61,1.06097,0.89788,1.05037,0.65692,0.41437,0.43921,0.30272,1.13682,1.003,1.08223,0.0072874,0.0072874,0.0072874
139,5267.73,1.04472,0.88775,1.03746,0.63276,0.41162,0.44142,0.30212,1.14752,1.0068,1.0857,0.0072676,0.0072676,0.0072676
140,5304.87,1.06859,0.89909,1.04467,0.66811,0.38841,0.44064,0.30377,1.14443,1.00249,1.09037,0.0072478,0.0072478,0.0072478
141,5342.18,1.05299,0.88836,1.04225,0.67869,0.37646,0.43958,0.30058,1.14279,1.00563,1.08243,0.007228,0.007228,0.007228
142,5379.22,1.05281,0.88577,1.04496,0.64727,0.39748,0.43388,0.2945,1.14884,0.99567,1.08483,0.0072082,0.0072082,0.0072082
143,5416.42,1.04618,0.88951,1.04042,0.65306,0.39117,0.4308,0.29463,1.14731,1.00362,1.08596,0.0071884,0.0071884,0.0071884
144,5453.45,1.04849,0.88507,1.04373,0.70047,0.37562,0.43122,0.29716,1.14746,1.00463,1.08794,0.0071686,0.0071686,0.0071686
145,5490.55,1.05893,0.88078,1.04337,0.61406,0.42846,0.44019,0.30415,1.14277,1.0019,1.0822,0.0071488,0.0071488,0.0071488
